metric,month,value
asp_usd,2020-08-01,37.404665121256166
asp_usd,2020-09-01,37.15825549286217
asp_usd,2020-10-01,38.84337550320963
asp_usd,2020-11-01,36.78048492979699
asp_usd,2020-12-01,26.390429837922753
asp_usd,2021-01-01,35.55917623736363
asp_usd,2021-02-01,34.264108849454885
asp_usd,2021-03-01,36.24936187847935
asp_usd,2021-04-01,33.007853726646594
asp_usd,2021-05-01,30.307848120292203
asp_usd,2021-06-01,24.93463745709989
asp_usd,2021-07-01,29.419226821038514
asp_usd,2021-08-01,29.08206663910402
asp_usd,2021-09-01,34.17222337933997
asp_usd,2021-10-01,27.86855252076658
asp_usd,2021-11-01,28.498247992613322
asp_usd,2021-12-01,33.01322235389915
asp_usd,2022-01-01,28.303778922219724
asp_usd,2022-02-01,28.49722374503618
asp_usd,2022-03-01,31.691794142771712
asp_usd,2022-04-01,29.206097548419507
asp_usd,2022-05-01,25.326972101416423
asp_usd,2022-06-01,26.039637858600223
asp_usd,2022-07-01,26.402155332570548
asp_usd,2022-08-01,27.599702342980382
asp_usd,2022-09-01,27.334373455579993
asp_usd,2022-10-01,25.851252493129
asp_usd,2022-11-01,25.98371308597559
asp_usd,2022-12-01,22.655440508558407
asp_usd,2023-01-01,22.853596003292857
asp_usd,2023-02-01,22.926909258832467
asp_usd,2023-03-01,22.69736658138583
asp_usd,2023-04-01,20.70450886049293
asp_usd,2023-05-01,21.404557351784515
asp_usd,2023-06-01,20.528313447874954
asp_usd,2023-07-01,22.26367146466817
asp_usd,2023-08-01,19.392890078337363
asp_usd,2023-09-01,21.275995603243445
asp_usd,2023-10-01,22.684820947921935
asp_usd,2023-11-01,21.808698407564115
asp_usd,2023-12-01,17.629781866260046
asp_usd,2024-01-01,18.36776406433894
asp_usd,2024-02-01,17.54391965956677
asp_usd,2024-03-01,20.088725109789827
asp_usd,2024-04-01,18.301450955951168
asp_usd,2024-05-01,18.385550356820723
asp_usd,2024-06-01,19.752453107169803
asp_usd,2024-07-01,20.216031983848637
asp_usd,2024-08-01,21.425255527692237
asp_usd,2024-09-01,22.100745256503473
asp_usd,2024-10-01,21.509034323588587
asp_usd,2024-11-01,18.05982261810094
asp_usd,2024-12-01,19.81117099922623
asp_usd,2025-01-01,18.716242932126168
asp_usd,2025-02-01,16.484469047625183
asp_usd,2025-03-01,19.18057912655398
asp_usd,2025-04-01,18.715640096590448
asp_usd,2025-05-01,19.16760623690434
asp_usd,2025-06-01,19.720577231881414
asp_usd,2025-07-01,20.58766399661914
asp_usd,2025-08-01,20.829267179818952
asp_usd,2025-09-01,22.925268373878204
asp_usd,2025-10-01,21.326796118931256
asp_usd,2025-11-01,20.86990058487263
asp_usd,2025-12-01,22.314253873334458
asp_usd,2026-01-01,18.065298782811354
asp_usd,2026-02-01,17.497914336110092
asp_usd,2026-03-01,17.60411492931375
asp_value_inr_m,2020-01-01,5420.094831720002
asp_value_inr_m,2020-02-01,4425.358097759997
asp_value_inr_m,2020-03-01,3180.5662981600008
asp_value_inr_m,2020-05-01,4419.051327699999
asp_value_inr_m,2020-06-01,7907.2130295800025
asp_value_inr_m,2020-07-01,6640.879924279998
asp_value_inr_m,2020-08-01,12965.806751460006
asp_value_inr_m,2020-09-01,13894.88436014
asp_value_inr_m,2020-10-01,17939.7848316
asp_value_inr_m,2020-11-01,11569.299832602159
asp_value_inr_m,2020-12-01,10141.170272399997
asp_value_inr_m,2021-01-01,11548.076974820002
asp_value_inr_m,2021-02-01,8395.4586645
asp_value_inr_m,2021-03-01,9853.28568597004
asp_value_inr_m,2021-04-01,6542.043724460003
asp_value_inr_m,2021-05-01,7221.807772180002
asp_value_inr_m,2021-06-01,9731.002929259997
asp_value_inr_m,2021-07-01,14136.225705619996
asp_value_inr_m,2021-08-01,15492.484635720006
asp_value_inr_m,2021-09-01,25369.678581120002
asp_value_inr_m,2021-10-01,21188.280775258994
asp_value_inr_m,2021-11-01,12965.385714260003
asp_value_inr_m,2021-12-01,13405.632558446641
asp_value_inr_m,2022-01-01,10328.080276179988
asp_value_inr_m,2022-02-01,9521.0409797
asp_value_inr_m,2022-03-01,10893.546726419989
asp_value_inr_m,2022-04-01,15183.926421620012
asp_value_inr_m,2022-05-01,14871.874961285826
asp_value_inr_m,2022-06-01,19215.648658268386
asp_value_inr_m,2022-07-01,21253.351083941783
asp_value_inr_m,2022-08-01,24035.93356446001
asp_value_inr_m,2022-09-01,35342.80818298006
asp_value_inr_m,2022-10-01,21636.01853061132
asp_value_inr_m,2022-11-01,13825.69604132822
asp_value_inr_m,2022-12-01,15928.035523737712
asp_value_inr_m,2023-01-01,16383.718511483043
asp_value_inr_m,2023-02-01,15595.301675419265
asp_value_inr_m,2023-03-01,15053.34741830615
asp_value_inr_m,2023-04-01,17983.23936174989
asp_value_inr_m,2023-05-01,18970.74273757995
asp_value_inr_m,2023-06-01,19208.086952761532
asp_value_inr_m,2023-07-01,24622.094294019946
asp_value_inr_m,2023-08-01,22369.726110205993
asp_value_inr_m,2023-09-01,36298.71786036003
asp_value_inr_m,2023-10-01,23367.95102336001
asp_value_inr_m,2023-11-01,13636.58170984343
asp_value_inr_m,2023-12-01,12517.684192140005
asp_value_inr_m,2024-01-01,13552.77958237547
asp_value_inr_m,2024-02-01,12845.447174889527
asp_value_inr_m,2024-03-01,13192.378677253353
asp_value_inr_m,2024-04-01,14575.722342811441
asp_value_inr_m,2024-05-01,15021.43512246867
asp_value_inr_m,2024-06-01,16714.18968051629
asp_value_inr_m,2024-07-01,16521.979494289328
asp_value_inr_m,2024-08-01,22636.493953340825
asp_value_inr_m,2024-09-01,28970.040804280037
asp_value_inr_m,2024-10-01,20126.699688760014
asp_value_inr_m,2024-11-01,9700.27332736952
asp_value_inr_m,2024-12-01,14235.082067096953
asp_value_inr_m,2025-01-01,14372.51385276001
asp_value_inr_m,2025-02-01,11819.66747987999
asp_value_inr_m,2025-03-01,12860.730804504272
asp_value_inr_m,2025-04-01,13125.300712408934
asp_value_inr_m,2025-05-01,14340.677920199994
asp_value_inr_m,2025-06-01,16498.252556620027
asp_value_inr_m,2025-07-01,19131.26694044
asp_value_inr_m,2025-08-01,26934.662738419986
asp_value_inr_m,2025-09-01,28923.826071679992
asp_value_inr_m,2025-10-01,16216.100172228415
asp_value_inr_m,2025-11-01,10733.76344603999
asp_value_inr_m,2025-12-01,16894.361080119994
asp_value_inr_m,2026-01-01,14454.400528902435
asp_value_inr_m,2026-02-01,11402.837168806751
asp_value_inr_m,2026-03-01,13766.385252305241
asp_value_usd_m,2020-01-01,76.0421781426616
asp_value_usd_m,2020-02-01,61.79100521096884
asp_value_usd_m,2020-03-01,42.578135684941465
asp_value_usd_m,2020-05-01,58.277817875164565
asp_value_usd_m,2020-06-01,104.24789195505343
asp_value_usd_m,2020-07-01,88.56307348200805
asp_value_usd_m,2020-08-01,173.66477312353587
asp_value_usd_m,2020-09-01,188.8302653897946
asp_value_usd_m,2020-10-01,243.72979024585487
asp_value_usd_m,2020-11-01,155.79970665061467
asp_value_usd_m,2020-12-01,137.59220629285525
asp_value_usd_m,2021-01-01,157.90030872695576
asp_value_usd_m,2021-02-01,115.2829305242361
asp_value_usd_m,2021-03-01,135.40035645786622
asp_value_usd_m,2021-04-01,87.82581184244356
asp_value_usd_m,2021-05-01,98.67162450143682
asp_value_usd_m,2021-06-01,132.14844198731325
asp_value_usd_m,2021-07-01,189.6520753747635
asp_value_usd_m,2021-08-01,209.02831367675924
asp_value_usd_m,2021-09-01,344.6380470976886
asp_value_usd_m,2021-10-01,282.7750123416681
asp_value_usd_m,2021-11-01,174.07524975007212
asp_value_usd_m,2021-12-01,177.67448863767456
